pl_name, points, dist(pa), ra(deg), dec(deg), magn, mas
GJ 2030 c,1,37.0788000,50.8237604,-7.7950429,no data,452.03728275995985,
GJ 2056 b,0,28.4434000,108.0194945,-24.8921008,no data,9.949584086290669,
GJ 229 A c,1,5.7562400,92.6435993,-21.8677233,no data,66.71021361166316,
GJ 229 b,1,5.7562400,92.6435993,-21.8677233,no data,188.66482287048493,
GJ 238 b,2,15.2142000,98.4548810,-58.5250316,29.603975261855282,1.3954069224803145,
GJ 251 b,5,5.5805700,103.7002499,33.2664632,no data,14.658000885214234,
GJ 27.1 b,2,23.6062000,9.9980016,-44.2541679,no data,4.278536994518389,
GJ 273 b,3,5.9215350,111.8520910,5.2258070,no data,15.384693326983628,
GJ 273 c,3,5.9215350,111.8520910,5.2258070,no data,6.158369409283234,
GJ 3021 b,4.444043321299639,17.5559000,4.0634323,-79.8514218,no data,27.910844787222526,
GJ 3082 b,0,16.6186000,18.6432425,-53.9407751,no data,4.753709698771257,
GJ 3090 b,3.5,22.4751000,20.4384281,-46.7147234,27.376278001539823,1.4082251024467076,
GJ 3138 b,4,28.4712000,32.2977385,-16.3392495,no data,0.6919272809014021,
GJ 3138 c,4,28.4712000,32.2977385,-16.3392495,no data,2.0020230970243618,
GJ 3138 d,4,28.4712000,32.2977385,-16.3392495,no data,24.516002135491302,
GJ 317 b,1,15.1968000,130.2445254,-23.4528090,no data,75.73962939566225,
GJ 317 c,1,15.1968000,130.2445254,-23.4528090,no data,344.151400294799,
GJ 3222 b,0,18.2381700,50.8972464,-40.0762325,no data,4.989535682582188,
GJ 328 b,3,20.5266000,133.7819507,1.5420011,no data,200.22799684312068,
GJ 328 c,3,20.5266000,133.7819507,1.5420011,no data,32.00724913039666,
GJ 3293 b,5,20.1903000,67.1484425,-25.1713396,no data,7.101925181894275,
GJ 3293 c,5,20.1903000,67.1484425,-25.1713396,no data,17.917019558897096,
GJ 3293 d,5,20.1903000,67.1484425,-25.1713396,no data,9.605602690400834,
GJ 3293 e,5,20.1903000,67.1484425,-25.1713396,no data,4.065318494524599,
GJ 3323 b,3,5.3748400,75.4868824,-6.9485133,no data,6.106228278423172,
GJ 3323 c,3,5.3748400,75.4868824,-6.9485133,no data,23.516979110075837,
GJ 3341 b,2,23.6190000,78.9471415,-31.2948458,no data,3.7681527583724965,
GJ 338 B b,1.9930244145490783,6.3325600,138.5916722,52.6835211,no data,22.423790694442687,
GJ 3470 b,5.383838383838384,29.4214000,119.7735021,15.3912090,26.896868211892865,1.2066047162949418,
GJ 3473 b,6.342051288031981,27.3644000,120.5936065,3.3371629,29.350191563271714,0.5806814693543437,
GJ 3473 c,6,27.3644000,120.5936065,3.3371629,no data,3.2012395667363434,
GJ 3512 b,3,9.4863700,130.3316616,59.4918364,no data,35.5246527386134,
GJ 3512 c,3,9.4863700,130.3316616,59.4918364,no data,136.19540456465435,
GJ 357 b,6.16023166023166,9.4418100,144.0074644,-21.6650634,28.408913720564954,3.8128282606830677,
GJ 357 c,6.7905236907730675,9.4418100,144.0074644,-21.6650634,no data,6.460625663935199,
GJ 357 d,4,9.4418100,144.0074644,-21.6650634,no data,21.606026810537383,
GJ 3634 b,0,20.3779000,164.6433493,-31.1443383,no data,1.4083884993056204,
GJ 367 b,6.579090360189573,9.4126300,146.1214640,-45.7790165,25.29715274415357,0.7532432486988228,
GJ 367 c,4,9.4126300,146.1214640,-45.7790165,no data,no data,
GJ 367 d,4,9.4126300,146.1214640,-45.7790165,no data,no data,
GJ 3779 b,2,13.7430000,200.7335358,24.4639425,no data,1.891872225860438,
GJ 3929 b,7.950103565392354,15.8095000,239.5775678,35.4081141,29.608177661171247,1.593978304184193,
GJ 3929 c,6,15.8095000,239.5775678,35.4081141,no data,5.1235016920206204,
GJ 393 b,4.307216494845361,7.0314900,157.2288672,0.8378485,no data,7.682582212304931,
GJ 3942 b,3.8966101694915256,16.9287000,242.2645452,52.9441443,no data,3.591533903961911,
GJ 3988 b,5,9.9105000,255.8503747,51.4089795,no data,4.08657484486151,
GJ 3998 b,3,18.1459000,259.0020507,11.0561751,no data,1.59815715946853,
GJ 3998 c,3,18.1459000,259.0020507,11.0561751,no data,4.90468921354135,
GJ 411 b,3,5.6757730,165.8344710,35.9723170,no data,13.881809579065264,
GJ 414 A b,8.277305074096219,11.8893000,167.7745044,30.4451688,28.154709323109323,19.546987627530637,
